,giniCoefficient,shannonsEntropy,LUSD.netSwapFlow,LUSD.netLPFlow,3Crv.netSwapFlow,3Crv.netLPFlow
2023-03-21 22:58:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-21 22:59:00,0.3511399355898104,0.6069802155973267,0.0,0,0.0,0
2023-03-21 23:00:00,0.3511399355898104,0.6069802155973267,0.0,0,0.0,0
2023-03-21 23:01:00,0.3511708732163204,0.606902388415658,0.0,0,0.0,0
2023-03-21 23:02:00,0.3511399355898104,0.6069802155973267,0.0,0,0.0,0
2023-03-21 23:03:00,0.3511089979633004,0.6070580427789954,0.0,0,0.0,0
2023-03-21 23:04:00,0.3511089979633004,0.6070580427789954,0.0,0,0.0,0
2023-03-21 23:05:00,0.3511708732163204,0.606902388415658,0.0,0,0.0,0
2023-03-21 23:06:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-21 23:07:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-21 23:08:00,0.3511089979633004,0.6070580427789954,0.0,0,0.0,0
2023-03-21 23:09:00,0.3511089979633004,0.6070580427789954,0.0,0,0.0,0
2023-03-21 23:10:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-21 23:11:00,0.3511089979633004,0.6070580427789954,0.0,0,0.0,0
2023-03-21 23:12:00,0.3511399355898104,0.6069802155973267,0.0,0,0.0,0
2023-03-21 23:13:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-21 23:14:00,0.3511089979633004,0.6070580427789954,0.0,0,0.0,0
2023-03-21 23:15:00,0.3511399355898104,0.6069802155973267,0.0,0,0.0,0
2023-03-21 23:16:00,0.3511089979633004,0.6070580427789954,0.0,0,0.0,0
2023-03-21 23:17:00,0.3511089979633004,0.6070580427789954,0.0,0,0.0,0
2023-03-21 23:18:00,0.3511399355898104,0.6069802155973267,0.0,0,0.0,0
2023-03-21 23:19:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-21 23:20:00,0.3511089979633004,0.6070580427789954,0.0,0,0.0,0
2023-03-21 23:21:00,0.3511089979633004,0.6070580427789954,0.0,0,0.0,0
2023-03-21 23:22:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-21 23:23:00,0.3511708732163204,0.606902388415658,0.0,0,0.0,0
2023-03-21 23:24:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-21 23:25:00,0.3511089979633004,0.6070580427789954,0.0,0,0.0,0
2023-03-21 23:26:00,0.3511399355898104,0.6069802155973267,0.0,0,0.0,0
2023-03-21 23:27:00,0.3511167323699279,0.6070385859835783,0.0,0,0.0,0
2023-03-21 23:28:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-21 23:29:00,0.3511089979633004,0.6070580427789954,0.0,0,0.0,0
2023-03-21 23:30:00,0.3511399355898104,0.6069802155973267,0.0,0,0.0,0
2023-03-21 23:31:00,0.3511708732163204,0.606902388415658,0.0,0,0.0,0
2023-03-21 23:32:00,0.3511089979633004,0.6070580427789954,0.0,0,0.0,0
2023-03-21 23:33:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-21 23:34:00,0.3511399355898104,0.6069802155973267,0.0,0,0.0,0
2023-03-21 23:35:00,0.3511089979633004,0.6070580427789954,0.0,0,0.0,0
2023-03-21 23:36:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-21 23:37:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-21 23:38:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-21 23:39:00,0.3511089979633004,0.6070580427789954,0.0,0,0.0,0
2023-03-21 23:40:00,0.3511089979633004,0.6070580427789954,0.0,0,0.0,0
2023-03-21 23:41:00,0.3511089979633004,0.6070580427789954,0.0,0,0.0,0
2023-03-21 23:42:00,0.3511399355898104,0.6069802155973267,0.0,0,0.0,0
2023-03-21 23:43:00,0.3511399355898104,0.6069802155973267,0.0,0,0.0,0
2023-03-21 23:44:00,0.3511167323699279,0.6070385859835783,0.0,0,0.0,0
2023-03-21 23:45:00,0.3511089979633004,0.6070580427789954,0.0,0,0.0,0
2023-03-21 23:46:00,0.3511089979633004,0.6070580427789954,0.0,0,0.0,0
2023-03-21 23:47:00,0.3511399355898104,0.6069802155973267,0.0,0,0.0,0
2023-03-21 23:48:00,0.3511399355898104,0.6069802155973267,0.0,0,0.0,0
2023-03-21 23:49:00,0.3511089979633004,0.6070580427789954,0.0,0,0.0,0
2023-03-21 23:50:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-21 23:51:00,0.3511399355898104,0.6069802155973267,0.0,0,0.0,0
2023-03-21 23:52:00,0.3511708732163204,0.606902388415658,0.0,0,0.0,0
2023-03-21 23:53:00,0.3511089979633004,0.6070580427789954,0.0,0,0.0,0
2023-03-21 23:54:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-21 23:55:00,0.35312600242900427,0.6019384448647865,0.0,0,0.0,0
2023-03-21 23:56:00,0.35416196905137565,0.599235530940637,0.0,0,0.0,0
2023-03-21 23:57:00,0.3536897272769114,0.6004739769637809,0.0,0,0.0,0
2023-03-21 23:58:00,0.3542843897513285,0.5989316818811067,0.0,0,0.0,0
2023-03-21 23:59:00,0.35312600242900427,0.6019384448647865,0.0,0,0.0,0
2023-03-22 00:00:00,0.3554308385703253,0.5960327149658587,0.0,0,0.0,0
2023-03-22 00:01:00,0.3551430068947081,0.5968188469505775,0.0,0,0.0,0
2023-03-22 00:02:00,0.3586181688616807,0.587798557999538,0.0,0,0.0,0
2023-03-22 00:03:00,0.3574597815393565,0.5908053209832178,0.0,0,0.0,0
2023-03-22 00:04:00,0.35860047265695155,0.5878450921389182,0.0,0,0.0,0
2023-03-22 00:05:00,0.3562836980123032,0.5938586181062779,0.0,0,0.0,0
2023-03-22 00:06:00,0.35744208533462735,0.5908518551225981,0.0,0,0.0,0
2023-03-22 00:07:00,0.35630139421703233,0.5938120839668977,0.0,0,0.0,0
2023-03-22 00:08:00,0.3562836980123032,0.5938586181062779,0.0,0,0.0,0
2023-03-22 00:09:00,0.35744208533462735,0.5908518551225981,0.0,0,0.0,0
2023-03-22 00:10:00,0.3562836980123032,0.5938586181062779,0.0,0,0.0,0
2023-03-22 00:11:00,0.3551430068947081,0.5968188469505775,0.0,0,0.0,0
2023-03-22 00:12:00,0.3551430068947081,0.5968188469505775,0.0,0,0.0,0
2023-03-22 00:13:00,0.35744208533462735,0.5908518551225981,0.0,0,0.0,0
2023-03-22 00:14:00,0.35970577136508836,0.584977931573379,0.0,0,0.0,0
2023-03-22 00:15:00,0.35948695935342384,0.5855434857617781,0.0,0,0.0,0
2023-03-22 00:16:00,0.35630139421703233,0.5938120839668977,0.0,0,0.0,0
2023-03-22 00:17:00,0.35860047265695155,0.5878450921389182,0.0,0,0.0,0
2023-03-22 00:18:00,0.35630139421703233,0.5938120839668977,0.0,0,0.0,0
2023-03-22 00:19:00,0.35860047265695155,0.5878450921389182,0.0,0,0.0,0
2023-03-22 00:20:00,0.35744208533462735,0.5908518551225981,0.0,0,0.0,0
2023-03-22 00:21:00,0.3551430068947081,0.5968188469505775,0.0,0,0.0,0
2023-03-22 00:22:00,0.3574597815393565,0.5908053209832178,0.0,0,0.0,0
2023-03-22 00:23:00,0.3597411637745466,0.5848848632946185,0.0,0,0.0,0
2023-03-22 00:24:00,0.35630139421703233,0.5938120839668977,0.0,0,0.0,0
2023-03-22 00:25:00,0.35860047265695155,0.5878450921389182,0.0,0,0.0,0
2023-03-22 00:26:00,0.35860047265695155,0.5878450921389182,0.0,0,0.0,0
2023-03-22 00:27:00,0.3585827764522224,0.5878916262782984,0.0,0,0.0,0
2023-03-22 00:28:00,0.35630139421703233,0.5938120839668977,0.0,0,0.0,0
2023-03-22 00:29:00,0.35630139421703233,0.5938120839668977,0.0,0,0.0,0
2023-03-22 00:30:00,0.3551430068947081,0.5968188469505775,0.0,0,0.0,0
2023-03-22 00:31:00,0.3562836980123032,0.5938586181062779,0.0,0,0.0,0
2023-03-22 00:32:00,0.35630139421703233,0.5938120839668977,0.0,0,0.0,0
2023-03-22 00:33:00,0.3551430068947081,0.5968188469505775,0.0,0,0.0,0
2023-03-22 00:34:00,0.3565909910476134,0.5930603932209777,0.0,0,0.0,0
2023-03-22 00:35:00,0.3551430068947081,0.5968188469505775,0.0,0,0.0,0
2023-03-22 00:36:00,0.35744208533462735,0.5908518551225981,0.0,0,0.0,0
2023-03-22 00:37:00,0.35744208533462735,0.5908518551225981,0.0,0,0.0,0
2023-03-22 00:38:00,0.35630139421703233,0.5938120839668977,0.0,0,0.0,0
2023-03-22 00:39:00,0.35860047265695155,0.5878450921389182,0.0,0,0.0,0
2023-03-22 00:40:00,0.3551430068947081,0.5968188469505775,0.0,0,0.0,0
2023-03-22 00:41:00,0.35630139421703233,0.5938120839668977,0.0,0,0.0,0
2023-03-22 00:42:00,0.35744208533462735,0.5908518551225981,0.0,0,0.0,0
2023-03-22 00:43:00,0.35630139421703233,0.5938120839668977,0.0,0,0.0,0
2023-03-22 00:44:00,0.3551430068947081,0.5968188469505775,0.0,0,0.0,0
2023-03-22 00:45:00,0.35630139421703233,0.5938120839668977,0.0,0,0.0,0
2023-03-22 00:46:00,0.35630139421703233,0.5938120839668977,0.0,0,0.0,0
2023-03-22 00:47:00,0.3518910496483739,0.6050724653586468,0.0,0,0.0,0
2023-03-22 00:48:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-22 00:49:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-22 00:50:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-22 00:51:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-22 00:52:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-22 00:53:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-22 00:54:00,0.3512174669554241,0.6067847454873899,0.0,0,0.0,0
